Month	Day	Hour	wtr	CO2dep	O2dep
7	11	0	15.27	91.90722671	-45.57953574
7	11	2	15.008	96.77315887	-48.67298482
7	11	4	14.745	99.88026547	-54.28083847
7	11	6	14.625	97.94694993	-51.36423113
7	11	8	14.745	94.53420327	-48.29857513
7	11	10	15.008	92.75965242	-46.63568642
7	11	12	15.342	91.64047704	-44.53982611
7	11	14	15.819	91.23785895	-40.574815
7	11	16	16.272	89.46307806	-36.31714374
7	11	18	16.344	88.58076986	-36.21730574
7	11	20	16.272	87.96965869	-37.53339267
7	11	22	16.058	92.36129907	-41.97633565
7	12	0	15.796	91.68126466	-44.14795832
7	12	2	15.461	91.74463521	-42.44270352
7	12	4	15.151	95.92764668	-49.16461307
7	12	6	15.103	92.6355991	-47.60530354
7	12	8	15.318	92.0306945	-45.7780004
7	12	10	15.676	88.55210557	-42.83803274
7	12	12	16.392	86.63187107	-38.22702668
7	12	14	17.915	84.00094553	-36.71301844
7	12	16	19.127	81.69818251	-27.51740558
7	12	18	18.794	81.45525559	-31.69491456
7	12	20	18.675	85.9785995	-37.23075968
7	12	22	18.961	84.60562638	-40.25196137
7	13	0	18.129	86.31787381	-39.28968948
7	13	2	17.51	87.74801563	-56.54654458
7	13	4	17.106	87.00737908	-45.88998981
7	13	6	16.701	86.86479013	-51.55358165
7	13	8	16.725	82.45258306	-39.55292069
7	13	10	17.153	80.11954876	-43.76474033
7	13	12	17.486	77.26012591	-42.83362016
7	13	14	18.247	72.72240723	-39.6737051
7	13	16	18.271	73.38072493	-40.03627497
7	13	18	17.605	86.60955848	-42.16170096
7	13	20	17.986	78.56057057	-31.22811905
7	13	22	17.201	80.95855562	-35.65669434
7	14	0	16.939	83.4205459	-33.11872047
7	14	2	16.487	86.21768457	-36.58599114
7	14	4	16.106	88.58803132	-42.20900856
7	14	6	15.891	87.55362266	-40.65715695
7	14	8	15.819	88.12027636	-41.730579
7	14	10	16.177	85.73505297	-41.1311999
7	14	12	16.582	85.67624936	-38.94388179
7	14	14	17.082	82.60520288	-32.30628556
7	14	16	17.272	80.18930236	-30.05395156
7	14	18	17.177	78.4958757	-30.96641797
7	14	20	17.034	80.73131798	-33.75300909
7	14	22	17.034	85.43204942	-47.50629938
7	15	0	16.582	83.560151	-40.10075601
7	15	2	16.225	84.85692132	-40.30585407
7	15	4	15.963	84.72046637	-40.38111345
7	15	6	15.772	84.69827801	-42.20206676
7	15	8	15.724	85.10787156	-46.20520089
7	15	10	16.082	80.90782503	-43.11056935
7	15	12	16.415	68.33655072	-41.72228945
7	15	14	16.63	66.21436917	-41.70441367
7	15	16	16.463	71.12000448	-44.63448421
7	15	18	16.201	75.27701781	-42.12505894
7	15	20	16.058	66.36503695	-42.88731232
7	15	22	15.652	78.11525481	-41.11690785
7	16	0	15.175	82.58725149	-47.30895246
7	16	2	14.792	83.66934138	-48.11660998
7	16	4	14.577	83.967997	-49.68465726
7	16	6	14.242	85.54983542	-55.11628551
7	16	8	14.194	86.44802362	-53.16322075
7	16	10	14.242	85.98554267	-53.05546858
7	16	12	14.146	89.0169381	-53.35884624
7	16	14	14.337	91.06605922	-53.25948049
7	16	16	14.385	92.52885839	-51.38443271
7	16	18	14.409	94.59625972	-52.25169942
7	16	20	14.337	95.24672929	-54.84560462
7	16	22	14.146	103.8889347	-56.55916746
7	17	0	13.906	105.2519689	-58.73901402
7	17	2	13.714	104.4664856	-58.26976932
7	17	4	13.497	104.1298719	-60.47248626
7	17	6	13.353	103.9130119	-60.50207344
7	17	8	13.449	102.7993465	-59.92452309
7	17	10	13.858	93.96312179	-57.26869794
7	17	12	14.457	90.87093257	-51.40385385
7	17	14	15.318	87.1055082	-45.25150024
7	17	16	15.819	79.87289846	-40.85895202
7	17	18	15.557	91.89234064	-40.76069991
7	17	20	15.39	93.42076829	-41.51259208
7	17	22	15.223	96.39665334	-42.0864915
7	18	0	15.151	91.48502143	-40.08965726
7	18	2	14.96	99.60437301	-43.16442542
7	18	4	14.768	93.39712501	-44.51005257
7	18	6	14.577	85.01637102	-43.08919489
7	18	8	14.697	79.51793309	-42.44560114
7	18	10	14.673	81.2045053	-43.2001483
7	18	12	15.151	80.41425116	-38.98955175
7	18	14	15.581	71.20509486	-35.26896432
7	18	16	15.605	77.68836577	-34.84404712
7	18	18	15.533	81.1111909	-33.71360769
7	18	20	15.438	80.10823023	-33.78933619
7	18	22	15.223	81.16929573	-36.5671005
7	19	0	14.984	80.32794267	-37.17830189
7	19	2	14.792	79.5928555	-38.6784352
7	19	4	14.577	79.98075698	-39.74811887
7	19	6	14.385	78.37412357	-41.02051399
7	19	8	14.29	78.43467616	-41.18542114
7	19	10	14.337	78.0716498	-40.8374536
7	19	12	14.457	78.86677274	-38.94924751
7	19	14	14.697	79.11650737	-37.11400904
7	19	16	15.079	79.22829204	-37.41202582
7	19	18	14.864	80.90794122	-38.41681645
